toi,tid,tfopwg_disp,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim
1237.02,120960812,KP,6.2387550,0.0000306,-0.0000306,0
1238.01,153951307,CP,3.2947689,0.0000059,-0.0000059,0
1238.02,153951307,CP,0.7645807,0.0000099,-0.0000099,0
1239.01,154716798,CP,12.6396982,0.0000153,-0.0000153,0
124.01,29831208,APC,1.8428078,0.0000014,-0.0000014,0
1240.01,158170594,KP,1.7208555,0.0000026,-0.0000026,0
1241.01,159107668,PC,4.7802597,0.0000165,-0.0000165,0
1242.01,198212955,PC,0.3814849,0.0000006,-0.0000006,0
1243.01,219698776,PC,4.6595169,0.0000082,-0.0000082,0
1244.01,219850915,CP,6.4002807,0.0000104,-0.0000104,0
1245.01,229781583,PC,4.8204512,0.0000122,-0.0000122,0
1246.01,230127302,CP,18.6548829,0.0001055,-0.0001055,0
1246.02,230127302,CP,4.3074513,0.0000050,-0.0000050,0
1246.03,230127302,CP,5.9041278,0.0000106,-0.0000106,0
1246.04,230127302,CP,37.9251983,0.0001252,-0.0001252,0
1247.01,232540264,CP,15.9234883,0.0000529,-0.0000529,0
1248.01,232612416,CP,4.3601536,0.0000011,-0.0000011,0
1249.01,232976128,CP,13.0791581,0.0000414,-0.0000414,0
125.01,52368076,CP,4.6517186,0.0000083,-0.0000083,0
125.02,52368076,CP,9.1549418,0.0000249,-0.0000249,0
125.03,52368076,CP,19.9815709,0.0000896,-0.0000896,0
125.04,52368076,PC,,,,0
1250.01,233059608,FA,1.4415044,0.0001673,-0.0001673,0
1251.01,233120979,APC,5.9630544,0.0000015,-0.0000015,0
1252.01,233211762,PC,1.1219715,0.0000014,-0.0000014,0
1253.01,233684822,FP,4.6756655,0.0000050,-0.0000050,0
1254.01,236714379,APC,1.0180114,0.0000007,-0.0000007,0
1255.01,237222864,CP,10.2888860,0.0000076,-0.0000076,0
1256.01,274762761,FP,1.0332441,0.0003238,-0.0003238,0
1257.01,278348461,KP,5.4526479,0.0000037,-0.0000037,0
1258.01,288132261,PC,10.2613397,0.0000291,-0.0000291,0
1259.01,288735205,CP,3.4779776,0.0000002,-0.0000002,0
126.01,70440470,KP,3.0354017,0.0000017,-0.0000017,0
1260.01,355867695,CP,3.1274634,0.0000073,-0.0000073,0
1260.02,355867695,CP,7.4931613,0.0000170,-0.0000170,0
1260.03,355867695,CP,49.8251660,0.0005768,-0.0005768,0
1261.01,356311210,PC,18.0574016,0.0000392,-0.0000392,0
1262.01,365938305,PC,20.8774413,0.0001096,-0.0001096,0
1263.01,406672232,PC,1.0214555,0.0000014,-0.0000014,0
1264.01,416195870,PC,2.7441672,0.0000010,-0.0000010,0
1265.01,424865156,KP,2.2047452,0.0000127,-0.0000127,0
1266.01,467179528,CP,10.8948421,0.0000122,-0.0000122,0
1266.02,467179528,CP,18.8016111,0.0000532,-0.0000532,0
1267.01,158561566,KP,6.7900981,0.0000145,-0.0000145,0
1268.01,142394656,CP,8.1577210,0.0000023,-0.0000023,0
